City,TimeZoneName,WindowsTimeZoneId,Lat,Lon,Notes
Coral Harbour,America/Atikokan,SA Pacific Standard Time,48.762526,-91.624603,Override applied
Córdoba,America/Argentina/Cordoba,Argentina Standard Time,-31.4166867,-64.1834193,Override applied
Dakar,Africa/Dakar,Greenwich Standard Time,14.693425,-17.447938,
Dallas,America/Chicago,Central Standard Time,32.7762719,-96.7968559,
Damascus,America/New_York,Eastern Standard Time,39.2694715,-77.1968941,
Danmarkshavn,America/Danmarkshavn,Greenwich Standard Time,76.769517,-18.6736769,Override applied
Dar es Salaam,Africa/Dar_es_Salaam,E. Africa Standard Time,-6.8160837,39.2803583,
Darwin,Australia/Darwin,AUS Central Standard Time,-12.46044,130.8410469,
Denpasar,Asia/Makassar,Singapore Standard Time,-8.6524973,115.2191175,
Denver,America/Denver,Mountain Standard Time,39.7392364,-104.984862,
Detroit,America/Detroit,Eastern Standard Time,42.3315509,-83.0466403,
Dhaka,Asia/Dhaka,Bangladesh Standard Time,23.7643863,90.3890144,
Diego Garcia,Indian/Chagos,Central Asia Standard Time,-7.3383584,72.4718155,
Dili,Asia/Dili,Tokyo Standard Time,-8.5536809,125.5784093,
Djibouti,Africa/Djibouti,E. Africa Standard Time,11.8145966,42.8453061,
Dnipro,Europe/Kyiv,FLE Standard Time,51.9191343,30.8243039,
Dodoma,Africa/Dar_es_Salaam,E. Africa Standard Time,-6.1791181,35.7468174,
Doha,Asia/Qatar,Arab Standard Time,25.2856329,51.5264162,
Douglas,America/Chicago,Central Standard Time,39.7628415,-88.2170516,
Dubai,Asia/Dubai,Arabian Standard Time,25.0742823,55.1885387,
Dublin,Europe/Dublin,GMT Standard Time,53.3493795,-6.2605593,
Dushanbe,Asia/Dushanbe,West Asia Standard Time,38.5762709,68.7863573,
Easter Island,Pacific/Easter,Easter Island Standard Time,-27.1259317,-109.3495887,
Edinburgh,Europe/London,GMT Standard Time,55.9533456,-3.1883749,
Edmonton,America/Edmonton,Mountain Standard Time,53.5462055,-113.491241,
El Aaiún,Africa/El_Aaiun,Morocco Standard Time,27.154512,-13.1953921,
Eucla,Australia/Eucla,Aus Central W. Standard Time,-31.6768407,128.8865164,Override applied
